group,pop_weight,total_wages,total_capital,total_capital_pos,total_capital_losses,total_change,share_of_total_change_signed_%,share_of_relief_%
decile_1,1682219.9844819163,14065200943.86561,-5216234184.333986,1101522459.1323843,6317756643.466372,-38734446189.82229,5.310214461827704,5.310214461827704
decile_2,1396223.2569313531,34514437782.6473,-2838330981.3364873,3952938586.2605233,6791269567.597012,-41676209572.4909,5.713509099922379,5.713509099922379
decile_3,1325857.2265107878,26569415150.290337,7288732181.762749,9042720153.86191,1753987972.0991604,-30513372948.373653,4.183164347194695,4.183164347194695
decile_4,1433899.9646318683,52447544853.484,20438397452.939556,24101062182.16126,3662664729.221695,-47001180803.449814,6.443524422740764,6.443524422740764
decile_5,1381186.0478792097,57365153544.332436,40755400074.6258,43630679975.8723,2875279901.2464952,-37437320107.60313,5.132387789236113,5.132387789236113
decile_6,1540305.709565963,120169084590.70955,37176107365.37419,51183126609.56537,14007019244.191175,-42830796586.66198,5.871794689705787,5.871794689705787
decile_7,1352874.176619128,127501936749.73352,-14421007855.78812,758221042.5811112,15179228898.369236,-46294358820.397224,6.346624203799985,6.346624203799985
decile_8,1671987.3377399486,154448407166.6345,93999380052.78023,100839015677.8475,6839635625.067293,-53024134834.20099,7.269228175939696,7.269228175939696
decile_9,1242327.409761587,156430693081.30032,205688198766.64658,206769033985.23438,1080835218.5877693,-89723747901.72382,12.300481626669226,12.300481626669226
decile_10,1404709.5404376436,385715113457.92804,515318576374.05084,515734446566.0461,415870191.99518174,-302197235152.4378,41.429071182963646,41.429071182963646
top_5pct,741985.5364908065,297082739307.4931,399371676959.6411,399787540902.9996,415863943.35844535,-252178519644.40347,,
top_1pct,204897.518838856,100359677281.64958,161609119578.66467,162019449754.26218,410330175.5975,-101185893296.33507,,
all,14431590.654559404,1129226987320.9255,898189219246.7213,957112767238.5627,58923547991.84139,-729432802917.1616,,
