decile,households_weighted,agi_sum,wages_sum,consumption_allowance_sum,rebate_after_phaseout_sum
1,1890134.8793726028,626496.2576293945,520881.88076782227,4640780.0,4640780.0
2,1568790.2092471728,1659326.787677765,1706502.004852295,2192280.0,2192280.0
3,1489727.2544905096,7642576.294891357,7431736.59866333,6429660.0,6390953.899251538
4,1611123.6061752823,7349457.730270386,6539761.345718384,4059700.0,3792341.297171417
5,1551894.4625805242,21777733.16457367,18533730.36668396,8678680.0,7381687.132275196
6,1730680.5977431976,21352588.365348816,17463467.101257324,6124720.0,4904236.679469068
7,1520083.3528809971,10380464.635253906,8429178.194747925,2608480.0,2016505.2010171874
8,1878637.497243653,79188808.41195393,53863148.37976456,12594380.0,6596539.5508709
9,1395873.5561453183,25421983.385040283,15289407.299346924,2173060.0,198.2993906249996
10,1578325.3481890357,61309072.98144531,27341104.667388916,2069320.0,0.0
